interaction_name	ligand_type	interaction_type	lig_contributor	lig_contributor_group	lig_contributor_coeff	target_subunit	target_subunit_group	target_subunit_coeff
Ach_CHRNG	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRNG	1	1
Ach_CHRM1	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRM1	1	1
Ach_CHRM2	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRM2	1	1
Ach_CHRM3	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRM3	1	1
Ach_CHRM4	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRM4	1	1
Ach_CHRM5	Neurotransmitter	ligand-receptor	CHAT-SLC18A3	1-2	1-1	CHRM5	1	1
Ach_ACHE	Neurotransmitter	ligand-degradation	CHAT-SLC18A3	1-2	1-1	ACHE	1	1
Gly_GLRA1	Neurotransmitter	ligand-receptor	SHMT1-SHMT2-SLC32A1	1-1-2	1-1	GLRA1	1	1
Gly_GLRA2	Neurotransmitter	ligand-receptor	SHMT1-SHMT2-SLC32A1	1-1-2	1-1	GLRA2	1	1
Gly_GLRA3	Neurotransmitter	ligand-receptor	SHMT1-SHMT2-SLC32A1	1-1-2	1-1	GLRA3	1	1
Gly_GLRA4	Neurotransmitter	ligand-receptor	SHMT1-SHMT2-SLC32A1	1-1-2	1-1	GLRA4	1	1
Gly_GLRB	Neurotransmitter	ligand-receptor	SHMT1-SHMT2-SLC32A1	1-1-2	1-1	GLRB	1	1
Gly_SLC6A9	Neurotransmitter	ligand-uptake	SHMT1-SHMT2-SLC32A1	1-1-2	1-1	SLC6A9	1	1
Gly_SLC6A5	Neurotransmitter	ligand-uptake	SHMT1-SHMT2-SLC32A1	1-1-2	1-1	SLC6A5	1	1
5HT_HTR1A	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR1A	1	1
5HT_HTR1B	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR1B	1	1
5HT_HTR1D	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR1D	1	1
5HT_HTR1E	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR1E	1	1
5HT_HTR1F	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR1F	1	1
5HT_HTR2A	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR2A	1	1
5HT_HTR2B	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR2B	1	1
5HT_HTR2C	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR2C	1	1
5HT_HTR3A	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR3A	1	1
5HT_HTR3B	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR3B	1	1
5HT_HTR3C	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR3C	1	1
5HT_HTR3D	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR3D	1	1
5HT_HTR3E	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR3E	1	1
5HT_HTR4	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR4	1	1
5HT_HTR5A	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR5A	1	1
5HT_HTR6	Neurotransmitter	ligand-receptor	TPH1-TPH2-DDC-SLC18A1-SLC18A2	1-1-2-3-3	1-1-1	HTR6	1	1
