Source,Receiver,Ligand,Target
Oligodendrocyte progenitor cells,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Oligodendrocytes,Excitatory Layer 5-6 IT neurons II,NRXN3,NLGN3
Astrocytes,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Endothelial and mural cells,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Excitatory Layer 3-4 IT neurons,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Excitatory Layer 3-6 IT neurons,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Inhibitory LAMP5 neurons,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Inhibitory PVALB neurons,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Inhibitory SST neurons,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Inhibitory VIP neurons,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Microglial cells,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Oligodendrocyte progenitor cells,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Oligodendrocytes,Excitatory Layer 5-6 IT neurons II,NRXN1,NLGN3
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Excitatory Layer 3-4 IT neurons,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Excitatory Layer 3-6 IT neurons,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Excitatory Layer 5-6 CT and NP neurons,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Excitatory Layer 5-6 IT neurons I,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Excitatory Layer 5-6 IT neurons II,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Inhibitory LAMP5 neurons,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Inhibitory PVALB neurons,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Inhibitory SST neurons,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Inhibitory VIP neurons,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Oligodendrocyte progenitor cells,Excitatory Layer 5-6 IT neurons II,NRXN2,NLGN3
Excitatory Layer 2-3 IT neurons I,Excitatory Layer 3-4 IT neurons,Glu,GRM8
Excitatory Layer 2-3 IT neurons II,Excitatory Layer 3-4 IT neurons,Glu,GRM8
Excitatory Layer 3-4 IT neurons,Excitatory Layer 3-4 IT neurons,Glu,GRM8
Excitatory Layer 3-6 IT neurons,Excitatory Layer 3-4 IT neurons,Glu,GRM8
